LOCALIDAD,DIA,DIA_ORDEN,ORDEN_PAGINA,HERMANDAD,ETIQUETA_RAW,TIPO_NORMALIZADO,BANDA_TEXTO,BANDA_URL,ES_CCTT_AM
Sevilla,Lunes Santo,4,6,Vera Cruz,Paso de Palio,virgen,Capilla Musical,,False
Sevilla,Lunes Santo,4,7,Las Penas de San Vicente,Paso de Misterio,cristo,Capilla Musical,,False
Sevilla,Lunes Santo,4,7,Las Penas de San Vicente,Paso de Palio,virgen,Banda de Música del Maestro Tejera de Sevilla,https://musicofrades.com/directorio/183-banda-de-musica-del-maestro-tejera-de-sevilla/,False
Sevilla,Lunes Santo,4,8,Las Aguas,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Juvenil de la Centuria Romana Macarena de Sevilla,https://musicofrades.com/directorio/705-banda-de-cornetas-y-tambores-juvenil-de-la-centuria-romana-macarena-de-sevilla/,True
Sevilla,Lunes Santo,4,8,Las Aguas,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora del Rosario Coronada de Cádiz,https://musicofrades.com/directorio/898-banda-de-cornetas-y-tambores-nuestra-senora-del-rosario-coronada-de-cadiz/,True
Sevilla,Lunes Santo,4,8,Las Aguas,Paso de Palio,virgen,Banda de Música Municipal de Mairena del Alcor,https://musicofrades.com/directorio/215-banda-de-musica-municipal-de-mairena-del-alcor/,False
Sevilla,Lunes Santo,4,9,El Museo,Paso de Cristo,cristo,Silencio,,False
Sevilla,Lunes Santo,4,9,El Museo,Paso de Palio,virgen,Banda de Música de la Sociedad Filarmónica Nuestra Señora de la Oliva de Salteras,https://musicofrades.com/directorio/187-banda-de-musica-de-la-sociedad-filarmonica-nuestra-senora-de-la-oliva-de-salteras/,False
Sevilla,Martes Santo,5,1,El Cerro del Águila,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Nuestra Señora de los Ángeles de Sevilla,https://musicofrades.com/directorio/707-banda-de-cornetas-y-tambores-nuestra-senora-de-los-angeles-de-sevilla/,True
Sevilla,Martes Santo,5,1,El Cerro del Águila,Paso del Nazareno,cristo,Banda de Cornetas y Tambores Jesús Nazareno de Huelva,https://musicofrades.com/directorio/578-banda-de-cornetas-y-tambores-jesus-nazareno-de-huelva/,True
Sevilla,Martes Santo,5,1,El Cerro del Águila,Paso de Misterio,cristo,Banda de Cornetas y Tambores de la Centuria Romana Macarena de Sevilla,https://musicofrades.com/directorio/153-banda-de-cornetas-y-tambores-de-la-centuria-romana-macarena-de-sevilla/,True
Sevilla,Martes Santo,5,1,El Cerro del Águila,Paso de Palio,virgen,Banda de Música de la Asociación Filarmónica Cultural Santa María de las Nieves de Olivares,https://musicofrades.com/directorio/64-banda-de-musica-de-la-asociacion-filarmonica-cultural-santa-maria-de-las-nieves-de-olivares/,False
Sevilla,Martes Santo,5,2,San Benito,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil Sagrada Presentación de Sevilla,https://musicofrades.com/directorio/1417-agrupacion-musical-juvenil-sagrada-presentacion-de-sevilla/,True
